;projectdeel;peilbuis;filter_van_m;filter_tot_m;nummer;analysemonster;datum_bemonstering;gegevens;parameter;detectieconditie;waarde;eenheid;x_ml72;y_ml72
2549;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;155177,9764;213420,7135
2550;STLO;PFAS-Diep-PB5;22;23;196;PBSweco5d-1;2022/09/27;TM COTU;MePFOSA;<;10;ng/l;149800,9086;214023,7081
2551;STLO;PFAS-Diep-PB2;14;16;186;PFAS-DIEP-PB2-1-1;2021/10/19;RoTS/Sweco;PFHxA;<;1;ng/l;149518,0528;213609,5801
2552;R1N;PB1005;2;3;120;OBO-TS-PB1005;2021/11/30;RoTS/Sweco;PFBA;=;110;ng/l;153738;214502
2553;STLO;PFAS-Diep-PB2;14;16;187;PFAS-Diep-PB2-1-2 PFAS-Diep-PB2;2021/12/08;RoTS/Sweco;som PFAS kwantitatief;=;0;ng/l;149518,0528;213609,5801
2554;R1O1;PBC3;;14,9;182;PBC3;2022/02/04;RoTS/WiBo;PFPeS;<;1;ng/l;154735,9568;213286,1045
2555;STLO;PFAS-Diep-PB4;18;20;192;PFAS-DIEP-PB4-1-1;2021/10/19;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;149716,7329;213884,3736
2556;R1O2;PFC3B-PB12001;3;5;210;PFC3B-PB12001-1-1 PFC3B-PB12001;2022/03/10;RoTS/Sweco;8:2 diPAP;<;1;ng/l;155690,2526;212602,5175
2557;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;PFOS vertakt;=;32;ng/l;152803,81;214595,2
2558;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFUnDA;<;1;ng/l;155836,9;212073,38
2559;R1O1;P402a;9,1;10,1;77;LD_402a;2021/08/19;RoTS/WiBo;PFDS;<;1;ng/l;154374,47;213884,06
2560;OWK;PB236A;;;148;PB236A-1-1 PB236A;2021/12/02;RoTS/Sweco;4:2 FTS;<;1;ng/l;151168,171;214556,146
2561;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;HPFO-DA;<;1;ng/l;152803,81;214595,2
2562;R1O1;PBB1;;3,4;177;PBB1;2022/02/04;RoTS/WiBo;MePFOSAA;=;1;ng/l;154549,9838;213344,3547
2563;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;PFDoDS;<;1;ng/l;153964,46;215707,51
2564;R1O2;R1Z002B;7;8;231;R1Z002B-1-1;2021/10/11;RoTS/Sweco;4:2 FTS;<;1;ng/l;155311,25;213246,08
2565;R1O1;P403;4,1;6,1;81;LD_403;2021/08/19;RoTS/WiBo;PFHpA;<;1;ng/l;154770,21;213612,57
2566;R1O1;R1Z015B;7;8;241;R1Z015B;2021/11/17;RoTS/WiBo;PFOSA;=;2;ng/l;154791,54;213349,44
2567;R1O1;PB6-SHS;10;15;171;PB6-SHS;31/02/2022;RoTS/WiBo;PFDoDA;<;1;ng/l;154254,1905;213849,3676
2568;R1O1;P406;4,1;6,1;87;LD_406;2021/08/19;RoTS/WiBo;PFOA vertakt;=;21;ng/l;154457,34;213702
2569;STLO;PFAS-Diep-PB5;21;23;194;PFAS-DIEP-PB5-1-1;2021/10/19;RoTS/Sweco;8:2 diPAP;<;1;ng/l;149800,9086;214023,7081
2570;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;PFOA vertakt;=;17;ng/l;154172,71;215098,1
2571;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFOA vertakt;=;5;ng/l;155836,9;212073,38
2572;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;PFDS;<;1;ng/l;155264,7005;213281,1068
2573;R1O1;PBC4;;15,3;183;PBC4;2022/02/04;RoTS/WiBo;PFTrDA;<;1;ng/l;154418,5201;213413,2929
2574;R1N;PB1006;2,1;3,1;121;OBO-TS-PB1006;2021/11/30;RoTS/Sweco;PFHxDA;<;1;ng/l;153721;214562
2575;R1O2;R1Z007B;3,2;4,2;235;R1Z007B-1-1 R1Z007B;2022/01/20;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;155920,68;212552,55
2576;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;PFNA;<;1;ng/l;154867,85;213294,05
2577;R1N;R1N009B;6;7;221;R1N009B-1-1;2021/10/11;RoTS/Sweco;MePFOSAA;<;1;ng/l;154116,06;215627,04
2578;R1O1;PB3-SHS;10;15;163;PB3-SHS;31/02/2022;RoTS/WiBo;PFPeA;=;13;ng/l;154575,1009;213251,9026
2579;R1N;PB2D;;;157;PB2D-1-1;2021/10/11;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;154047,4;216277,67
2580;OWK;OWK019A;1;2;65;OWK019A-1-1 OWK019A;2021/12/02;RoTS/Sweco;PFNS;<;1;ng/l;152207,547;214709,46
2581;R1N;PB05D;;;109;PB05D-1-1;2021/10/11;RoTS/Sweco;PFHpA;=;9;ng/l;153964,34;215706,87
2582;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;PFTrDA;<;1;ng/l;154867,85;213294,05
